,critic_name,critic_org,critic_cn,movie_name,director,movie_year
364,Erik Davis,Fandango,(US),5. The Dark Knight,"Christopher Nolan,",2008
365,Erik Davis,Fandango,(US),6. Inside Llewyn Davis,"Joel and Ethan Coen,",2013
366,Erik Davis,Fandango,(US),7. Finding Nemo,"Andrew Stanton,",2003
367,Erik Davis,Fandango,(US),8. Mad Max: Fury Road,"George Miller,",2015
368,Erik Davis,Fandango,(US),9. Inglourious Basterds,"Quentin Tarantino,",2009
369,Erik Davis,Fandango,(US),10. Gravity,"Alfonso Cuarón,",2013
370,Peter Debruge,Variety,(US),1. The Tree of Life,"Terrence Malick,",2011
371,Peter Debruge,Variety,(US),2. Yi Yi: A One and a Two,"Edward Yang,",2000
372,Peter Debruge,Variety,(US),3. Secret Sunshine,"Lee Chang-dong,",2007
373,Peter Debruge,Variety,(US),4. Eternal Sunshine of the Spotless Mind,"Michel Gondry,",2004
374,Peter Debruge,Variety,(US),5. Amour,"Michael Haneke,",2012
375,Peter Debruge,Variety,(US),6. I Am Love,"Luca Guadagnino,",2009
376,Peter Debruge,Variety,(US),7. Son of Saul,"László Nemes,",2015
377,Peter Debruge,Variety,(US),8. WALL-E,"Andrew Stanton,",2008
378,Peter Debruge,Variety,(US),9. The Five Obstructions,"Jørgen Leth,",2003
378,Peter Debruge,Variety,(US),9. The Five Obstructions,"Lars von Trier,",2003
379,Peter Debruge,Variety,(US),10. Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"Larry Charles,",2006
380,Fernand Denis,La Libre Belgique,(Belgium),1. In the Mood for Love,"Wong Kar-wai,",2000
381,Fernand Denis,La Libre Belgique,(Belgium),2. Ida,"Paweł Pawlikowski,",2013
382,Fernand Denis,La Libre Belgique,(Belgium),3. Boyhood,"Richard Linklater,",2014
383,Fernand Denis,La Libre Belgique,(Belgium),4. Son of Saul,"László Nemes,",2015
384,Fernand Denis,La Libre Belgique,(Belgium),5. Nobody Knows,"Hirokazu Koreeda,",2004
385,Fernand Denis,La Libre Belgique,(Belgium),6. Talk to Her,"Pedro Almodóvar,",2002
386,Fernand Denis,La Libre Belgique,(Belgium),7. Amores Perros,"Alejandro González Iñárritu,",2000
387,Fernand Denis,La Libre Belgique,(Belgium),8. Wild Tales,"Damián Szifrón,",2014
388,Fernand Denis,La Libre Belgique,(Belgium),9. Eldorado,"Bouli Lanners,",2008
389,Fernand Denis,La Libre Belgique,(Belgium),10. Mommy,"Xavier Dolan,",2014
390,Lindiwe Dovey,University of London,(UK),1. The Stuart Hall Project,"John Akomfrah,",2013
391,Lindiwe Dovey,University of London,(UK),2. Uncle Boonmee Who Can Recall His Past Lives,"Apichatpong Weerasethakul,",2010
392,Lindiwe Dovey,University of London,(UK),3. A Letter to Nelson Mandela,"Khalo Matabane,",2013
393,Lindiwe Dovey,University of London,(UK),4. Waiting for Happiness,"Abderrahmane Sissako,",2002
394,Lindiwe Dovey,University of London,(UK),5. Something Necessary,"Judy Kibinge,",2013
395,Lindiwe Dovey,University of London,(UK),6. Moolaadé,"Ousmane Sembène,",2004
396,Lindiwe Dovey,University of London,(UK),7. Sembène!,"Samba Gadjigo,",2015
396,Lindiwe Dovey,University of London,(UK),7. Sembène!,"Jason Silverman,",2015
397,Lindiwe Dovey,University of London,(UK),8. 5 Broken Cameras,"Emad Burnat,",2011
397,Lindiwe Dovey,University of London,(UK),8. 5 Broken Cameras,"Guy Davidi,",2011
398,Lindiwe Dovey,University of London,(UK),9. Hooligan Sparrow,"Nanfu Wang,",2016
399,Lindiwe Dovey,University of London,(UK),10. 7 Letters,"Boo Junfeng,",2015
399,Lindiwe Dovey,University of London,(UK),10. 7 Letters,"Eric Khoo,",2015
399,Lindiwe Dovey,University of London,(UK),10. 7 Letters,"Jack Neo, ",2015
399,Lindiwe Dovey,University of London,(UK),10. 7 Letters,"K. Rajagopal,",2015
399,Lindiwe Dovey,University of London,(UK),10. 7 Letters,"Tan Pin Pin, ",2015
399,Lindiwe Dovey,University of London,(UK),10. 7 Letters,"Royston Tan,",2015
399,Lindiwe Dovey,University of London,(UK),10. 7 Letters,"Kelvin Tong,",2015
400,Alonso Duralde,TheWrap,(US),"1. Synecdoche, New York","Charlie Kaufman,",2008
401,Alonso Duralde,TheWrap,(US),2. Brokeback Mountain,"Ang Lee,",2005
402,Alonso Duralde,TheWrap,(US),3. Weekend,"Andrew Haigh,",2011
403,Alonso Duralde,TheWrap,(US),"4. 4 Months, 3 Weeks & 2 Days","Cristian Mungiu,",2007
404,Alonso Duralde,TheWrap,(US),5. Spirited Away,"Hayao Miyazaki,",2001
405,Alonso Duralde,TheWrap,(US),6. How to Survive a Plague,"David France,",2012
406,Alonso Duralde,TheWrap,(US),7. Talk to Her,"Pedro Almodóvar,",2002
407,Alonso Duralde,TheWrap,(US),8. American Splendor,Robert Pulcini,2003
407,Alonso Duralde,TheWrap,(US),8. American Splendor,"Shari Springer Berman,",2003
408,Alonso Duralde,TheWrap,(US),9. In the Mood for Love,"Wong Kar-wai,",2000
409,Alonso Duralde,TheWrap,(US),10. Far From Heaven,"Todd Haynes,",2002
410,Bilge Ebiri,The Village Voice,(US),1. The Tree of Life,"Terrence Malick,",2011
411,Bilge Ebiri,The Village Voice,(US),2. Mad Max: Fury Road,"George Miller,",2015
412,Bilge Ebiri,The Village Voice,(US),3. 25th Hour,"Spike Lee,",2002
413,Bilge Ebiri,The Village Voice,(US),4. An Injury to One,"Travis Wilkerson,",2002
414,Bilge Ebiri,The Village Voice,(US),5. Love & Basketball,"Gina Prince-Bythewood,",2000
415,Bilge Ebiri,The Village Voice,(US),6. In the Mood for Love,"Wong Kar-wai,",2000
416,Bilge Ebiri,The Village Voice,(US),7. Timbuktu,"Abderrahmane Sissako,",2014
417,Bilge Ebiri,The Village Voice,(US),8. Once Upon a Time in Anatolia,"Nuri Bilge Ceylan,",2011
418,Bilge Ebiri,The Village Voice,(US),9. It's Such a Beautiful Day,"Don Hertzfeldt,",2012
419,Bilge Ebiri,The Village Voice,(US),10. Actress,"Robert Greene,",2014
420,David Ehrlich,IndieWire,(US),1. Lost in Translation,"Sofia Coppola,",2003
421,David Ehrlich,IndieWire,(US),2. Carol,"Todd Haynes,",2015
422,David Ehrlich,IndieWire,(US),3. Yi Yi: A One and a Two,"Edward Yang,",2000
423,David Ehrlich,IndieWire,(US),4. Dancer in the Dark,"Lars von Trier,",2000
424,David Ehrlich,IndieWire,(US),5. Certified Copy,"Abbas Kiarostami,",2010
425,David Ehrlich,IndieWire,(US),6. The Wind Rises,"Hayao Miyazaki,",2013
426,David Ehrlich,IndieWire,(US),7. World of Tomorrow,"Don Hertzfeldt,",2015
427,David Ehrlich,IndieWire,(US),8. Mulholland Drive,"David Lynch,",2001
428,David Ehrlich,IndieWire,(US),9. 35 Shots of Rum,"Claire Denis,",2008
429,David Ehrlich,IndieWire,(US),10. Girl Walk: All Day,"Jacob Krupnick,",2011
430,Kate Erbland,IndieWire,(US),1. Inside Llewyn Davis,"Joel and Ethan Coen,",2013
431,Kate Erbland,IndieWire,(US),2. Almost Famous,"Cameron Crowe,",2000
432,Kate Erbland,IndieWire,(US),3. Collateral,"Michael Mann,",2004
433,Kate Erbland,IndieWire,(US),4. Brooklyn,"John Crowley,",2015
434,Kate Erbland,IndieWire,(US),5. Nightcrawler,"Dan Gilroy,",2014
435,Kate Erbland,IndieWire,(US),6. Take Shelter,"Jeff Nichols,",2011
436,Kate Erbland,IndieWire,(US),7. Fantastic Mr Fox,"Wes Anderson,",2009
437,Kate Erbland,IndieWire,(US),8. Senna,"Asif Kapadia,",2010
438,Kate Erbland,IndieWire,(US),9. Frances Ha,"Noah Baumbach,",2012
439,Kate Erbland,IndieWire,(US),10. Dogtooth,"Yorgos Lanthimos,",2009
440,Mario Espinosa,Cinemateca de Cuba,(Cuba),1. A Pigeon Sat on a Branch Reflecting on Existence,"Roy Andersson,",2014
441,Mario Espinosa,Cinemateca de Cuba,(Cuba),2. The Act of Killing,"Joshua Oppenheimer,",2012
442,Mario Espinosa,Cinemateca de Cuba,(Cuba),3. Dogtooth,"Yorgos Lanthimos,",2009
443,Mario Espinosa,Cinemateca de Cuba,(Cuba),4. Katyn,"Andrzej Wajda,",2007
444,Mario Espinosa,Cinemateca de Cuba,(Cuba),5. 3-Iron,"Kim Ki-duk,",2004
445,Mario Espinosa,Cinemateca de Cuba,(Cuba),6. Caché,"Michael Haneke,",2005
446,Mario Espinosa,Cinemateca de Cuba,(Cuba),7. Mulholland Drive,"David Lynch,",2001
447,Mario Espinosa,Cinemateca de Cuba,(Cuba),8. The Congress,"Ari Folman,",2013
448,Mario Espinosa,Cinemateca de Cuba,(Cuba),9. Sympathy for Mr Vengeance,"Park Chan-wook,",2002
449,Mario Espinosa,Cinemateca de Cuba,(Cuba),"10. Synecdoche, New York","Charlie Kaufman,",2008
450,Joseph Fahim,Freelance film critic,(Egypt),1. Yi Yi: A One and a Two,"Edward Yang,",2000
451,Joseph Fahim,Freelance film critic,(Egypt),2. There Will Be Blood,"Paul Thomas Anderson,",2007
452,Joseph Fahim,Freelance film critic,(Egypt),3. Boyhood,"Richard Linklater,",2014
453,Joseph Fahim,Freelance film critic,(Egypt),4. Still Life,"Jia Zhangke,",2006
454,Joseph Fahim,Freelance film critic,(Egypt),5. Archipelago,"Joanna Hogg,",2010
455,Joseph Fahim,Freelance film critic,(Egypt),6. The Headless Woman,"Lucrecia Martel,",2008
456,Joseph Fahim,Freelance film critic,(Egypt),7. The Act of Killing,"Joshua Oppenheimer,",2012
457,Joseph Fahim,Freelance film critic,(Egypt),8. Caché,"Michael Haneke,",2005
458,Joseph Fahim,Freelance film critic,(Egypt),9. Divine Intervention,"Elia Suleiman,",2002
459,Joseph Fahim,Freelance film critic,(Egypt),10. Crimson Gold,"Jafar Panahi,",2003
460,Devin Faraci,Birth.Movies.Death.,(US),1. Zodiac,"David Fincher,",2007
461,Devin Faraci,Birth.Movies.Death.,(US),2. Inside Llewyn Davis,"Joel and Ethan Coen,",2013
462,Devin Faraci,Birth.Movies.Death.,(US),3. There Will Be Blood,"Paul Thomas Anderson,",2007
463,Devin Faraci,Birth.Movies.Death.,(US),4. Spider-Man 2,"Sam Raimi,",2004
464,Devin Faraci,Birth.Movies.Death.,(US),5. Oldboy,"Park Chan-wook,",2003
465,Devin Faraci,Birth.Movies.Death.,(US),6. Inglourious Basterds,"Quentin Tarantino,",2009
466,Devin Faraci,Birth.Movies.Death.,(US),7. Frozen,"Chris Buck and Jennifer Lee,",2013
467,Devin Faraci,Birth.Movies.Death.,(US),8. 25th Hour,"Spike Lee,",2002
468,Devin Faraci,Birth.Movies.Death.,(US),9. Requiem for a Dream,"Darren Aronofsky,",2000
469,Devin Faraci,Birth.Movies.Death.,(US),10. Shaun of the Dead,"Edgar Wright,",2004
470,David Fear,Rolling Stone,(US),1. There Will Be Blood,"Paul Thomas Anderson,",2007
471,David Fear,Rolling Stone,(US),"2. 4 Months, 3 Weeks & 2 Days","Cristian Mungiu,",2007
472,David Fear,Rolling Stone,(US),3. Yi Yi: A One and a Two,"Edward Yang,",2000
473,David Fear,Rolling Stone,(US),4. Shame,"Steve McQueen,",2011
474,David Fear,Rolling Stone,(US),5. Boyhood,"Richard Linklater,",2014
475,David Fear,Rolling Stone,(US),6. The Social Network,"David Fincher,",2010
476,David Fear,Rolling Stone,(US),7. Manchester by the Sea,"Kenneth Lonergan,",2016
477,David Fear,Rolling Stone,(US),8. Mulholland Drive,"David Lynch,",2001
478,David Fear,Rolling Stone,(US),9. Head-On,"Fatih Akin,",2004
479,David Fear,Rolling Stone,(US),10. In the Mood for Love,"Wong Kar-wai,",2000
480,Scott Feinberg,The Hollywood Reporter,(US),1. Sideways,"Alexander Payne,",2004
481,Scott Feinberg,The Hollywood Reporter,(US),2. The Social Network,"David Fincher,",2010
482,Scott Feinberg,The Hollywood Reporter,(US),"3. Synecdoche, New York","Charlie Kaufman,",2008
483,Scott Feinberg,The Hollywood Reporter,(US),4. The Diving Bell and the Butterfly,"Julian Schnabel,",2007
484,Scott Feinberg,The Hollywood Reporter,(US),5. Dogville,"Lars von Trier,",2003
485,Scott Feinberg,The Hollywood Reporter,(US),6. Short Term 12,"Destin Daniel Cretton,",2013
486,Scott Feinberg,The Hollywood Reporter,(US),7. WALL-E,"Andrew Stanton,",2008
487,Scott Feinberg,The Hollywood Reporter,(US),8. Blue Valentine,"Derek Cianfrance,",2010
488,Scott Feinberg,The Hollywood Reporter,(US),9. The Squid and the Whale,"Noah Baumbach,",2005
489,Scott Feinberg,The Hollywood Reporter,(US),10. A Serious Man,"Joel and Ethan Coen,",2009
490,Javier Porta Fouz,La Nacion,(Argentina),1. Jersey Boys,"Clint Eastwood,",2014
491,Javier Porta Fouz,La Nacion,(Argentina),2. Moulin Rouge!,"Baz Luhrmann,",2001
492,Javier Porta Fouz,La Nacion,(Argentina),3. Nine Queens,"Fabián Bielinsky,",2000
493,Javier Porta Fouz,La Nacion,(Argentina),4. Mia Madre,"Nanni Moretti,",2015
494,Javier Porta Fouz,La Nacion,(Argentina),"5. Right Now, Wrong Then","Hong Sang-soo,",2015
495,Javier Porta Fouz,La Nacion,(Argentina),6. Toy Story 3,"Lee Unkrich,",2010
496,Javier Porta Fouz,La Nacion,(Argentina),7. Mad Max: Fury Road,"George Miller,",2015
497,Javier Porta Fouz,La Nacion,(Argentina),8. Spirited Away,"Hayao Miyazaki,",2001
498,Javier Porta Fouz,La Nacion,(Argentina),9. Adventureland,"Greg Mottola,",2009
499,Javier Porta Fouz,La Nacion,(Argentina),10. Open Range,"Kevin Costner,",2003
500,Kenji Fujishima,Freelance film critic,(US),1. The World,"Jia Zhangke,",2004
501,Kenji Fujishima,Freelance film critic,(US),2. Profit Motive and the Whispering Wind,"John Gianvito,",2007
502,Kenji Fujishima,Freelance film critic,(US),3. Inglourious Basterds,"Quentin Tarantino,",2009
503,Kenji Fujishima,Freelance film critic,(US),4. Pulse,"Kiyoshi Kurosawa,",2001
504,Kenji Fujishima,Freelance film critic,(US),5. Syndromes and a Century,"Apichatpong Weerasethakul,",2006
505,Kenji Fujishima,Freelance film critic,(US),6. In Jackson Heights,"Frederick Wiseman,",2015
506,Kenji Fujishima,Freelance film critic,(US),"7. Synecdoche, New York","Charlie Kaufman,",2008
507,Kenji Fujishima,Freelance film critic,(US),8. Love Exposure,"Sion Sono,",2008
508,Kenji Fujishima,Freelance film critic,(US),9. The Tree of Life,"Terrence Malick,",2011
509,Kenji Fujishima,Freelance film critic,(US),10. Casino Royale,"Martin Campbell,",2006
510,Ernesto Garratt,El Mercurio,(Chile),1. Oldboy,"Park Chan-wook,",2003
511,Ernesto Garratt,El Mercurio,(Chile),2. Children of Men,"Alfonso Cuarón,",2006
512,Ernesto Garratt,El Mercurio,(Chile),3. Mulholland Drive,"David Lynch,",2001
513,Ernesto Garratt,El Mercurio,(Chile),4. The Secret in Their Eyes,"Juan José Campanella,",2009
514,Ernesto Garratt,El Mercurio,(Chile),5. Sicario,"Denis Villeneuve,",2015
515,Ernesto Garratt,El Mercurio,(Chile),6. No,"Pablo Larraín,",2012
516,Ernesto Garratt,El Mercurio,(Chile),7. Donnie Darko,"Richard Kelly,",2001
517,Ernesto Garratt,El Mercurio,(Chile),8. Eternal Sunshine of the Spotless Mind,"Michel Gondry,",2004
518,Ernesto Garratt,El Mercurio,(Chile),9. The Social Network,"David Fincher,",2010
519,Ernesto Garratt,El Mercurio,(Chile),10. Whiplash,"Damien Chazelle,",2014
520,Steven Gaydos,Variety,(US),1. Ex Machina,"Alex Garland,",2015
521,Steven Gaydos,Variety,(US),2. Inside Out,"Pete Docter,",2015
522,Steven Gaydos,Variety,(US),3. Animal Kingdom,"David Michôd,",2010
523,Steven Gaydos,Variety,(US),4. Apocalypto,"Mel Gibson,",2006
524,Steven Gaydos,Variety,(US),5. Three Monkeys,"Nuri Bilge Ceylan,",2008
525,Steven Gaydos,Variety,(US),6. WALL-E,"Andrew Stanton,",2008
526,Steven Gaydos,Variety,(US),7. Listen to Me Marlon,"Stevan Riley,",2015
527,Steven Gaydos,Variety,(US),"8. 4 Months, 3 Weeks & 2 Days","Cristian Mungiu,",2007
528,Steven Gaydos,Variety,(US),9. Talladega Nights: The Ballad of Ricky Bobby,"Adam McKay,",2006
529,Steven Gaydos,Variety,(US),10. Centochiodi,"Ermanno Olmi,",2007
530,Noah Gittell,Washington City Paper,(US),1. United 93,"Paul Greengrass,",2006
531,Noah Gittell,Washington City Paper,(US),2. Zodiac,"David Fincher,",2007
532,Noah Gittell,Washington City Paper,(US),3. Bridesmaids,"Paul Feig,",2011
533,Noah Gittell,Washington City Paper,(US),4. WALL-E,"Andrew Stanton,",2008
534,Noah Gittell,Washington City Paper,(US),5. Brooklyn,"John Crowley,",2015
535,Noah Gittell,Washington City Paper,(US),6. The Look of Silence,"Joshua Oppenheimer,",2014
536,Noah Gittell,Washington City Paper,(US),7. Punch-Drunk Love,"Paul Thomas Anderson,",2002
537,Noah Gittell,Washington City Paper,(US),8. 12 Years a Slave,"Steve McQueen,",2013
538,Noah Gittell,Washington City Paper,(US),9. Eternal Sunshine of the Spotless Mind,"Michel Gondry,",2004
539,Noah Gittell,Washington City Paper,(US),10. We Need to Talk About Kevin,"Lynne Ramsay,",2011
540,Owen Gleiberman,Variety,(US),1. Far From Heaven,"Todd Haynes,",2002
541,Owen Gleiberman,Variety,(US),2. Chuck & Buck,"Miguel Arteta,",2000
542,Owen Gleiberman,Variety,(US),3. Gladiator,"Ridley Scott,",2000
543,Owen Gleiberman,Variety,(US),4. The Century of the Self,"Adam Curtis,",2002
544,Owen Gleiberman,Variety,(US),5. Moulin Rouge!,"Baz Luhrmann,",2001
545,Owen Gleiberman,Variety,(US),6. Munich,"Steven Spielberg,",2005
546,Owen Gleiberman,Variety,(US),7. Casino Royale,"Martin Campbell,",2006
547,Owen Gleiberman,Variety,(US),8. Lilya 4-Ever,"Lukas Moodysson,",2002
548,Owen Gleiberman,Variety,(US),9. Sideways,"Alexander Payne,",2004
549,Owen Gleiberman,Variety,(US),10. Inglourious Basterds,"Quentin Tarantino,",2009
550,Ed Gonzalez,Slant Magazine,(US),1. Mulholland Drive,"David Lynch,",2001
551,Ed Gonzalez,Slant Magazine,(US),2. In the Mood for Love,"Wong Kar-wai,",2000
552,Ed Gonzalez,Slant Magazine,(US),3. The New World,"Terrence Malick,",2005
553,Ed Gonzalez,Slant Magazine,(US),4. Certified Copy,"Abbas Kiarostami,",2010
554,Ed Gonzalez,Slant Magazine,(US),5. Femme Fatale,"Brian De Palma,",2002
555,Ed Gonzalez,Slant Magazine,(US),6. Margaret,"Kenneth Lonergan,",2011
556,Ed Gonzalez,Slant Magazine,(US),7. Under the Skin,"Jonathan Glazer,",2013
557,Ed Gonzalez,Slant Magazine,(US),8. This Is Not a Film,"Mojtaba Mirtahmas,",2011
557,Ed Gonzalez,Slant Magazine,(US),8. This Is Not a Film,"Jafar Panahi,",2011
558,Ed Gonzalez,Slant Magazine,(US),9. Two Lovers,"James Gray,",2008
559,Ed Gonzalez,Slant Magazine,(US),10. Heart of a Dog,"Laurie Anderson,",2015
560,Juan Carlos González,El Tiempo,(Colombia),1. In the Mood for Love,"Wong Kar-wai,",2000
561,Juan Carlos González,El Tiempo,(Colombia),"2. 4 Months, 3 Weeks & 2 Days","Cristian Mungiu,",2007
562,Juan Carlos González,El Tiempo,(Colombia),3. A Separation,"Asghar Farhadi,",2011
563,Juan Carlos González,El Tiempo,(Colombia),4. Son of Saul,"László Nemes,",2015
564,Juan Carlos González,El Tiempo,(Colombia),5. Elephant,"Gus Van Sant,",2003
565,Juan Carlos González,El Tiempo,(Colombia),6. A Prophet,"Jacques Audiard,",2009
566,Juan Carlos González,El Tiempo,(Colombia),7. There Will Be Blood,"Paul Thomas Anderson,",2007
567,Juan Carlos González,El Tiempo,(Colombia),8. The Lives of Others,"Florian Henckel von Donnersmarck,",2006
568,Juan Carlos González,El Tiempo,(Colombia),9. Frances Ha,"Noah Baumbach,",2012
569,Juan Carlos González,El Tiempo,(Colombia),10. Eternal Sunshine of the Spotless Mind,"Michel Gondry,",2004
570,Carmen Gray,Berlin Critics’ Week,(Germany),1. Werckmeister Harmonies,"Béla Tarr,",2000
570,Carmen Gray,Berlin Critics’ Week,(Germany),1. Werckmeister Harmonies,"Ágnes Hranitzky,",2000
571,Carmen Gray,Berlin Critics’ Week,(Germany),2. The Act of Killing,"Joshua Oppenheimer,",2012
572,Carmen Gray,Berlin Critics’ Week,(Germany),3. White Material,"Claire Denis,",2009
573,Carmen Gray,Berlin Critics’ Week,(Germany),4. Even If She Had Been a Criminal...,"Jean-Gabriel Périot,",2006
574,Carmen Gray,Berlin Critics’ Week,(Germany),5. Spring Breakers,"Harmony Korine,",2012
575,Carmen Gray,Berlin Critics’ Week,(Germany),6. In the Mood for Love,"Wong Kar-wai,",2000
576,Carmen Gray,Berlin Critics’ Week,(Germany),7. Stranger by the Lake,"Alain Guiraudie,",2013
577,Carmen Gray,Berlin Critics’ Week,(Germany),8. Colossal Youth,"Pedro Costa,",2006
578,Carmen Gray,Berlin Critics’ Week,(Germany),9. Story of My Death,"Albert Serra,",2013
579,Carmen Gray,Berlin Critics’ Week,(Germany),10. Aurora,"Cristi Puiu,",2010
580,Tim Grierson,Screen International,(US),1. Dogville,"Lars von Trier,",2003
581,Tim Grierson,Screen International,(US),2. Zodiac,"David Fincher,",2007
582,Tim Grierson,Screen International,(US),3. There Will Be Blood,"Paul Thomas Anderson,",2007
583,Tim Grierson,Screen International,(US),4. Inside Llewyn Davis,"Joel and Ethan Coen,",2013
584,Tim Grierson,Screen International,(US),5. Yi Yi: A One and a Two,"Edward Yang,",2000
585,Tim Grierson,Screen International,(US),6. The Turin Horse,"Béla Tarr,",2011
585,Tim Grierson,Screen International,(US),6. The Turin Horse,"Ágnes Hranitzky,",2011
586,Tim Grierson,Screen International,(US),7. The Master,"Paul Thomas Anderson,",2012
587,Tim Grierson,Screen International,(US),8. It's Such a Beautiful Day,"Don Hertzfeldt,",2012
588,Tim Grierson,Screen International,(US),9. Boyhood,"Richard Linklater,",2014
589,Tim Grierson,Screen International,(US),10. Shutter Island,"Martin Scorsese,",2010
590,Jean-Philippe Guerand,L'Avant-Scène Cinéma,(France),1. Saraband,"Ingmar Bergman,",2003
591,Jean-Philippe Guerand,L'Avant-Scène Cinéma,(France),2. Memento,"Christopher Nolan,",2000
592,Jean-Philippe Guerand,L'Avant-Scène Cinéma,(France),3. Blue Is the Warmest Color,"Abdellatif Kechiche,",2013
593,Jean-Philippe Guerand,L'Avant-Scène Cinéma,(France),4. The Return,"Andrey Zvyagintsev,",2003
594,Jean-Philippe Guerand,L'Avant-Scène Cinéma,(France),5. Amour,"Michael Haneke,",2012
595,Jean-Philippe Guerand,L'Avant-Scène Cinéma,(France),6. Mulholland Drive,"David Lynch,",2001
596,Jean-Philippe Guerand,L'Avant-Scène Cinéma,(France),7. Import Export,"Ulrich Seidl,",2007
597,Jean-Philippe Guerand,L'Avant-Scène Cinéma,(France),8. Son of Saul,"László Nemes,",2015
598,Jean-Philippe Guerand,L'Avant-Scène Cinéma,(France),9. Kill Bill: Vol. 1,"Quentin Tarantino,",2003
599,Jean-Philippe Guerand,L'Avant-Scène Cinéma,(France),10. The Revenant,"Alejandro González Iñárritu,",2015
600,Antoine Guillot,France Culture,(France),1. Tropical Malady,"Apichatpong Weerasethakul,",2004
601,Antoine Guillot,France Culture,(France),2. Mulholland Drive,"David Lynch,",2001
602,Antoine Guillot,France Culture,(France),3. The Turin Horse,"Béla Tarr ,",2011
602,Antoine Guillot,France Culture,(France),3. The Turin Horse," Ágnes Hranitzky,",2011
603,Antoine Guillot,France Culture,(France),4. Tie Xi Qu: West of the Tracks,"Wang Bing,",2002
604,Antoine Guillot,France Culture,(France),5. Le filmeur,"Alain Cavalier,",2005
605,Antoine Guillot,France Culture,(France),6. Holy Motors,"Leos Carax,",2012
606,Antoine Guillot,France Culture,(France),7. Elephant,"Gus Van Sant,",2003
607,Antoine Guillot,France Culture,(France),8. A Touch of Sin,"Jia Zhangke,",2013
608,Antoine Guillot,France Culture,(France),9. Pan's Labyrinth,"Guillermo Del Toro,",2006
609,Antoine Guillot,France Culture,(France),10. Spirited Away,"Hayao Miyazaki,",2001
610,Tom Gunning,University of Chicago,(US),1. The New World,"Terrence Malick,",2005
611,Tom Gunning,University of Chicago,(US),2. Capitalism: Child Labor,"Ken Jacobs,",2007
612,Tom Gunning,University of Chicago,(US),3. Psalm III: 'Night of the Meek',"Phil Solomon,",2002
613,Tom Gunning,University of Chicago,(US),4. Goodbye to Language,"Jean-Luc Godard,",2014
614,Tom Gunning,University of Chicago,(US),5. Daylight Moon,"Lewis Klahr,",2002
615,Tom Gunning,University of Chicago,(US),6. Oldboy,"Park Chan-wook,",2003
616,Tom Gunning,University of Chicago,(US),7. A Commuter’s Life (What a Life!),"What a Life!) (Ernie Gehr,",2014
617,Tom Gunning,University of Chicago,(US),8. The Fourth Watch,"Janie Geiser,",2000
618,Tom Gunning,University of Chicago,(US),9. Our Daily Bread,"Nikolaus Geyrhalter,",2005
619,Tom Gunning,University of Chicago,(US),10. The World,"Jia Zhangke,",2004
620,Shubhra Gupta,The Indian Express,(India),1. Ankhon Dekhi,"Rajat Kapoor,",2013
621,Shubhra Gupta,The Indian Express,(India),2. Court,"Chaitanya Tamhane,",2014
622,Shubhra Gupta,The Indian Express,(India),"3. LSD: Love, Sex Aur Dhokha","Dibakar Banerjee,",2010
623,Shubhra Gupta,The Indian Express,(India),4. Monsoon Wedding,"Mira Nair,",2001
624,Shubhra Gupta,The Indian Express,(India),5. Dev D,"Anurag Kashyap,",2009
625,Shubhra Gupta,The Indian Express,(India),6. Paan Singh Tomar,"Tigmanshu Dhulia,",2012
626,Shubhra Gupta,The Indian Express,(India),7. Udaan,"Vikramaditya Motwane,",2010
627,Shubhra Gupta,The Indian Express,(India),8. Hazaaron Khwaishein Aisi,"Sudhir Mishra,",2003
628,Shubhra Gupta,The Indian Express,(India),9. Maqbool,"Vishal Bhardwaj,",2003
629,Shubhra Gupta,The Indian Express,(India),10. Lagaan: Once Upon a Time in India,"Ashutosh Gowariker,",2001
630,Hauvick Habechian,An-Nahar Newspaper,(Lebanon),1. There Will Be Blood,"Paul Thomas Anderson,",2007
631,Hauvick Habechian,An-Nahar Newspaper,(Lebanon),2. Mulholland Drive,"David Lynch,",2001
632,Hauvick Habechian,An-Nahar Newspaper,(Lebanon),3. AI: Artificial Intelligence,"Steven Spielberg,",2001
633,Hauvick Habechian,An-Nahar Newspaper,(Lebanon),4. Blue Is the Warmest Color,"Abdellatif Kechiche,",2013
634,Hauvick Habechian,An-Nahar Newspaper,(Lebanon),5. Spirited Away,"Hayao Miyazaki,",2001
635,Hauvick Habechian,An-Nahar Newspaper,(Lebanon),6. Once Upon a Time in Anatolia,"Nuri Bilge Ceylan,",2011
636,Hauvick Habechian,An-Nahar Newspaper,(Lebanon),7. In the Mood for Love,"Wong Kar-wai,",2000
637,Hauvick Habechian,An-Nahar Newspaper,(Lebanon),8. The Lady and the Duke,"Éric Rohmer,",2001
638,Hauvick Habechian,An-Nahar Newspaper,(Lebanon),9. Yi Yi: A One and a Two,"Edward Yang,",2000
639,Hauvick Habechian,An-Nahar Newspaper,(Lebanon),10. Silent Souls,"Aleksey Fedorchenko,",2010
640,Angie Han,Slashfilm,(US),"1. Synecdoche, New York","Charlie Kaufman,",2008
641,Angie Han,Slashfilm,(US),2. Eternal Sunshine of the Spotless Mind,"Michel Gondry,",2004
642,Angie Han,Slashfilm,(US),3. Boyhood,"Richard Linklater,",2014
