director,href,director_birthYr,director_cn
Francis Ford Coppola,https://www.imdb.com//name/nm0000338/,1939-4-7,"Detroit, Michigan, USA"
Stephen Chow,https://www.imdb.com//name/nm0159507/,1962-6-22,Hong Kong
Jean-Charles Fitoussi,https://www.imdb.com//name/nm0280083/,1970-6-1,"Tours, France"
Destin Daniel Cretton,https://www.imdb.com//name/nm2308774/,1978-11-23,"Maui, Hawaii, USA"
Rajat Kapoor,https://www.imdb.com//name/nm0438494/,1961-2-11,"New Delhi, India"
Wayne Blair,https://www.imdb.com//name/nm0992370/,1971-11-28,"Taree, New South Wales, Australia"
Jean-Gabriel Périot,https://www.imdb.com//name/nm1516014/,1974-0-0,"Bellac, Haute-Vienne, France"
Andrzej Wajda,https://www.imdb.com//name/nm0906667/,1926-3-6,"Suwalki, Podlaskie, Poland"
Jennifer Kent,https://www.imdb.com//name/nm0448768/,1969-0-0,"Brisbane, Queensland, Australia"
Lav Diaz,https://www.imdb.com//name/nm0225010/,1958-12-30,"Datu Paglas, Maguindanao, Mindanao, Philippines"
Michel Gondry,https://www.imdb.com//name/nm0327273/,1963-5-8,"Versailles, Seine-et-Oise [now Yvelines], France"
Charles Burnett,https://www.imdb.com//name/nm0122344/,1944-4-13,"Vicksburg, Mississippi, USA"
Juan José Campanella,https://www.imdb.com//name/nm0002728/,1959-7-19,"Buenos Aires, Argentina"
Nicolas Winding Refn,https://www.imdb.com//name/nm0716347/,1970-9-29,"Copenhagen, Denmark"
Cary Joji Fukunaga,https://www.imdb.com//name/nm1560977/,1977-7-10,"Oakland, California, USA"
Derek Cianfrance,https://www.imdb.com//name/nm0161834/,1974-1-23,"Lakewood, Colorado, USA"
Paolo Sorrentino,https://www.imdb.com//name/nm0815204/,1970-5-31,"Naples, Campania, Italy"
Zhang Yimou,https://www.imdb.com//name/nm0955443/,1951-11-14,"Xi'an, Shaanxi, China"
Evan Goldberg,https://www.imdb.com//name/nm1698571/,1982-5-11,"Vancouver, British Columbia, Canada"
Darren Aronofsky,https://www.imdb.com//name/nm0004716/,1969-2-12,"Brooklyn, New York City, New York, USA"
Vikramaditya Motwane,https://www.imdb.com//name/nm0003939/,1976-12-6,"Bombay, India"
Spike Jonze,https://www.imdb.com//name/nm0005069/,1969-10-22,"Rockville, Maryland, USA"
Marjane Satrapi,https://www.imdb.com//name/nm2277869/,1969-11-22,"Rasht, Iran"
Alejandro González Iñárritu,https://www.imdb.com//name/nm0327944/,1963-8-15,"Mexico City, Distrito Federal, Mexico"
Jean-Pierre Jeunet,https://www.imdb.com//name/nm0000466/,1953-9-3,"Roanne, Loire, Rhône-Alpes, France"
Abdellatif Kechiche,https://www.imdb.com//name/nm0444244/,1960-12-7,"Tunis, Tunisia"
Manoel de Oliveira,https://www.imdb.com//name/nm0210701/,1908-12-11,"Oporto, Portugal"
Stephen Frears,https://www.imdb.com//name/nm0001241/,1941-6-20,"Leicester, Leicestershire, England, UK"
Michael Winterbottom,https://www.imdb.com//name/nm0935863/,1961-3-29,"Blackburn, Lancashire, England, UK"
Andrew Stanton ,https://www.imdb.com//name/nm0004056/,1965-12-3,"Boston, Massachusetts, USA"
Ulrich Seidl,https://www.imdb.com//name/nm0782430/,1952-11-24,"Vienna, Austria"
Ben Wheatley,https://www.imdb.com//name/nm1296554/,1972-5-0,"Billericay, Essex, England, UK"
Courtney Hunt,https://www.imdb.com//name/nm2581581/,1964-0-0,"Memphis, Tennessee, USA"
Joss Whedon,https://www.imdb.com//name/nm0923736/,1964-6-23,"New York City, New York, USA"
Jason Reitman,https://www.imdb.com//name/nm0718646/,1977-10-19,"Montreal, Quebec, Canada"
Lukas Moodysson,https://www.imdb.com//name/nm0600546/,1969-1-17,"Malmö, Skåne län, Sweden"
Charlie Kaufman,https://www.imdb.com//name/nm0442109/,1958-11-19,"New York City, New York, USA"
Eytan Fox,https://www.imdb.com//name/nm0297202/,1964-8-21,"New York City, New York, USA"
Aleksey German,https://www.imdb.com//name/nm0314516/,1938-7-20,"Leningrad, Russian SFSR, USSR [now St. Petersburg, Russia]"
Satoshi Kon,https://www.imdb.com//name/nm0464804/,1963-10-12,"Sapporo, Hokkaido, Japan"
Michael Bay,https://www.imdb.com//name/nm0000881/,1965-2-17,"Los Angeles, California, USA"
Robert Zemeckis,https://www.imdb.com//name/nm0000709/,1951-5-14,"Chicago, Illinois, USA"
