director,href,director_birthYr,director_cn
Agnieszka Holland,https://www.imdb.com//name/nm0002140/,1948-11-28,"Warsaw, Mazowieckie, Poland"
Royston Tan,https://www.imdb.com//name/nm0848892/,1976-10-5,Singapore
Nanni Moretti,https://www.imdb.com//name/nm0604335/,1953-8-19,"Brunico, Trentino-Alto Adige, Italy"
Claire Denis,https://www.imdb.com//name/nm0219136/,1946-4-21,"Paris, France"
Ngozi Onwurah,https://www.imdb.com//name/nm0648937/,1964-0-0,Nigeria
Steve McQueen,https://www.imdb.com//name/nm0000537/,1930-3-24,"Beech Grove, Indiana, USA"
Franco Piavoli,https://www.imdb.com//name/nm0681311/,1933-6-21,"Pozzolengo, Lombardy, Italy"
Andrew Haigh,https://www.imdb.com//name/nm0354091/,1973-3-7,"Harrogate, North Yorkshire, England, UK"
Boo Junfeng,https://www.imdb.com//name/nm3008853/,1983-12-4,Singapore
Rian Johnson,https://www.imdb.com//name/nm0426059/,1973-12-17,"Silver Spring, Maryland, USA"
Hirokazu Koreeda,https://www.imdb.com//name/nm0466153/,1962-6-6,"Tokyo, Japan"
Duke Johnson,https://www.imdb.com//name/nm2122478/,1979-3-20,"St. Louis, Missouri, USA"
Pedro Costa,https://www.imdb.com//name/nm0182276/,1958-12-30,"Lisbon, Portugal"
Florian Henckel von Donnersmarck,https://www.imdb.com//name/nm0003697/,1973-5-2,"Cologne, North Rhine-Westphalia, Germany"
Agnès Jaoui,https://www.imdb.com//name/nm0418450/,1964-10-19,"Antony, Hauts-de-Seine, France"
Mahamat-Saleh Haroun,https://www.imdb.com//name/nm0757958/,1961-0-0,"Abéché, Chad"
Neill Blomkamp,https://www.imdb.com//name/nm0088955/,1979-9-17,"Johannesburg, South Africa"
Alfonso Cuarón,https://www.imdb.com//name/nm0190859/,1961-11-28,"Mexico City, Distrito Federal, Mexico"
Steven Spielberg,https://www.imdb.com//name/nm0000229/,1946-12-18,"Cincinnati, Ohio, USA"
Richard Curtis,https://www.imdb.com//name/nm0193485/,1956-11-8,"Wellington, New Zealand"
Nanfu Wang,https://www.imdb.com//name/nm6811599/,1985-0-0,"Jiangxi Province, China"
Sarah Polley,https://www.imdb.com//name/nm0001631/,1979-1-8,"Toronto, Ontario, Canada"
Mariano Llinás,https://www.imdb.com//name/nm1183471/,1975-0-0,"Buenos Aires, Argentina"
Michael Mann,https://www.imdb.com//name/nm0000520/,1943-2-5,"Chicago, Illinois, USA"
Edward Yang,https://www.imdb.com//name/nm0945981/,1947-11-6,"Shanghai, China"
Bahman Ghobadi,https://www.imdb.com//name/nm0315842/,1969-2-1,"Baneh, Iran"
Víctor Gaviria,https://www.imdb.com//name/nm0310597/,1955-1-19,"Medellin, Colombia"
Takahisa Zeze,https://www.imdb.com//name/nm0955270/,1960-0-0,"Tochigi, Japan"
Ben Stiller,https://www.imdb.com//name/nm0001774/,1965-11-30,"New York City, New York, USA"
Gus Van Sant,https://www.imdb.com//name/nm0001814/,1952-7-24,"Louisville, Kentucky, USA"
Ashutosh Gowariker,https://www.imdb.com//name/nm0332950/,1953-2-15,"Kolhapur, Maharashtra, India"
Brian De Palma,https://www.imdb.com//name/nm0000361/,1940-9-11,"Newark, New Jersey, USA"
Naomi Kawase,https://www.imdb.com//name/nm0442905/,1969-5-30,"Nara, Japan"
Albert Serra,https://www.imdb.com//name/nm2247200/,1975-0-0,"Banyoles, Girona, Catalonia, Spain"
Arnaud Desplechin,https://www.imdb.com//name/nm0221611/,1960-10-31,"Roubaix, Nord, France"
Benh Zeitlin,https://www.imdb.com//name/nm1022455/,1982-10-14,"Manhattan, New York, USA"
John Cameron Mitchell,https://www.imdb.com//name/nm0593463/,1963-4-21,"El Paso, Texas, USA"
Terrence Malick,https://www.imdb.com//name/nm0000517/,1943-11-30,"Ottawa, Illinois, USA"
Shlomi Elkabetz,https://www.imdb.com//name/nm1729095/,1972-12-5,"Beersheba, Israel"
Nikolaus Geyrhalter,https://www.imdb.com//name/nm0315430/,1972-0-0,"Vienna, Austria"
Pete Docter,https://www.imdb.com//name/nm0230032/,1968-10-9,"Bloomington, Minnesota, USA"
Damien Chazelle,https://www.imdb.com//name/nm3227090/,1985-1-19,"Providence, Rhode Island, USA"
Luca Guadagnino,https://www.imdb.com//name/nm0345174/,1971-8-10,"Palermo, Sicily, Italy"
Nick Cassavetes,https://www.imdb.com//name/nm0001024/,1959-5-21,"New York City, New York, USA"
Shane Carruth,https://www.imdb.com//name/nm1503403/,1972-0-0,"Myrtle Beach, South Carolina, USA"
Andrey Zvyagintsev,https://www.imdb.com//name/nm1168657/,1964-2-6,"Novosibirsk, Novosibirskaya oblast, RSFSR, USSR [now Russia]"
Yorgos Lanthimos,https://www.imdb.com//name/nm0487166/,1973-5-27,"Athens, Greece"
Alan Mak,https://www.imdb.com//name/nm0538320/,1965-1-1,Hong Kong
Lee Unkrich,https://www.imdb.com//name/nm0881279/,1967-8-8,"Cleveland, Ohio, USA"
James Marsh,https://www.imdb.com//name/nm1016428/,1963-4-30,"Truro, Cornwall, England, UK"
Guy Maddin,https://www.imdb.com//name/nm0534665/,1956-2-28,"Winnipeg, Manitoba, Canada"
James Gray,https://www.imdb.com//name/nm0336695/,1969-4-14,"New York City, New York, USA"
Vincent Paronnaud,https://www.imdb.com//name/nm1749112/,1970-0-0,"La Rochelle, Charente-Maritime, France"
Michelangelo Frammartino,https://www.imdb.com//name/nm1506005/,1968-0-0,"Milan, Lombardy, Italy"
Pirjo Honkasalo,https://www.imdb.com//name/nm0393345/,1947-2-22,"Helsinki, Finland"
Peter Watkins,https://www.imdb.com//name/nm0914386/,1935-10-29,"Norbiton, Surrey, England, UK"
Cristian Mungiu,https://www.imdb.com//name/nm0612816/,1968-4-27,"Iasi, Romania"
João Pedro Rodrigues,https://www.imdb.com//name/nm0735134/,1966-0-0,"Lisbon, Portugal"
Susanne Bier,https://www.imdb.com//name/nm0081540/,1960-4-15,"Copenhagen, Denmark"
Lynne Ramsay,https://www.imdb.com//name/nm0708903/,1969-12-5,"Glasgow, Strathclyde, Scotland, UK"
Guillermo Del Toro,https://www.imdb.com//name/nm0868219/,1964-10-9,"Guadalajara, Jalisco, Mexico"
Angela Ricci Lucchi,https://www.imdb.com//name/nm0723187/,1942-0-0,"Lugo, Emilia-Romagna, Italy"
Shari Springer Berman,https://www.imdb.com//name/nm0075849/,1963-7-13,"New York City, New York, USA"
Jonas Mekas,https://www.imdb.com//name/nm0577263/,1922-12-24,"Semeniskiai, Lithuania"
Gurinder Chadha,https://www.imdb.com//name/nm0149446/,1960-1-10,"Nairobi, Kenya"
Sam Raimi,https://www.imdb.com//name/nm0000600/,1959-10-23,"Royal Oak, Michigan, USA"
Jessica Hausner,https://www.imdb.com//name/nm0369618/,1972-10-6,"Vienna, Austria"
Cameron Crowe,https://www.imdb.com//name/nm0001081/,1957-7-13,"Palm Springs, California, USA"
 Ágnes Hranitzky,https://www.imdb.com//name/nm0398555/,1945-7-4,"Derecske, Hungary"
Jean-Marc Vallée,https://www.imdb.com//name/nm0885249/,1963-3-9,"Montreal, Quebec, Canada"
Amma Asante,https://www.imdb.com//name/nm1392994/,1969-0-0,"Streatham, London, England, UK"
Corneliu Porumboiu,https://www.imdb.com//name/nm1717949/,1975-9-14,"Vaslui, Romania"
Kinji Fukasaku,https://www.imdb.com//name/nm0297935/,1930-7-3,"Mito, Japan"
Damián Szifrón,https://www.imdb.com//name/nm1167933/,1975-7-9,"Ramos Mejía, Buenos Aires, Argentina"
Mani Haghighi,https://www.imdb.com//name/nm2155679/,1969-5-4,"Tehran, Iran"
George Miller,https://www.imdb.com//name/nm0004306/,1945-3-3,"Chinchilla, Queensland, Australia"
Robert Altman,https://www.imdb.com//name/nm0000265/,1925-2-20,"Kansas City, Missouri, USA"
Kiyoshi Kurosawa,https://www.imdb.com//name/nm0475905/,1955-7-19,"Kobe, Japan"
S. Craig Zahler,https://www.imdb.com//name/nm0951975/,1973-1-23,"Miami, Florida, USA"
Adam Curtis,https://www.imdb.com//name/nm0193231/,1955-5-26,"Dartford, Kent, England, UK"
Luigi M. Faccini,https://www.imdb.com//name/nm0264825/,1939-11-18,"Lerici, Italy"
Claude Lanzmann,https://www.imdb.com//name/nm0487351/,1925-11-27,"Bois-Colombes, Hauts-de-Seine, France"
Chaitanya Tamhane,https://www.imdb.com//name/nm4058904/,1987-3-1,"Mumbai, Maharashtra, India"
Víctor Erice,https://www.imdb.com//name/nm0258977/,1940-6-30,"Karrantza, Vizcaya, País Vasco, Spain"
David Cronenberg,https://www.imdb.com//name/nm0000343/,1943-3-15,"Toronto, Ontario, Canada"
Johnnie To,https://www.imdb.com//name/nm0864775/,1955-4-22,Hong Kong
Uli Edel,https://www.imdb.com//name/nm0248942/,1947-4-11,"Neuenburg am Rhein, Germany"
Kátia Lund,https://www.imdb.com//name/nm0526199/,1966-0-0,"São Paulo, São Paulo, Brazil"
James Cameron,https://www.imdb.com//name/nm0000116/,1954-8-16,"Kapuskasing, Ontario, Canada"
Martin Scorsese,https://www.imdb.com//name/nm0000217/,1942-11-17,"Queens, New York City, New York, USA"
Richard Kelly,https://www.imdb.com//name/nm0446819/,1975-3-28,"Newport News, Virginia, USA"
Andrew Dominik,https://www.imdb.com//name/nm0231596/,1967-10-7,"Wellington, New Zealand"
Elia Suleiman,https://www.imdb.com//name/nm0837839/,1960-7-28,"Nazareth, Israel"
Ágnes Hranitzky,https://www.imdb.com//name/nm0398555/,1945-7-4,"Derecske, Hungary"
Alain Resnais,https://www.imdb.com//name/nm0720297/,1922-6-3,"Vannes, Morbihan, France"
Ermanno Olmi,https://www.imdb.com//name/nm0647438/,1931-7-24,"Bergamo, Lombardy, Italy"
Ana Lily Amirpour,https://www.imdb.com//name/nm3235877/,1976-7-25,"Margate, Kent, England, UK"
Carlos Reygadas,https://www.imdb.com//name/nm1196161/,1971-10-10,"Mexico City, Distrito Federal, Mexico"
Mike Leigh,https://www.imdb.com//name/nm0005139/,1943-2-20,"Salford, Greater Manchester, England, UK"
Nadine Labaki,https://www.imdb.com//name/nm1701024/,1974-2-18,"Beirut, Lebanon"
Eran Riklis,https://www.imdb.com//name/nm0726954/,1954-10-2,"Beersheba, Israel"
Miguel Gomes,https://www.imdb.com//name/nm0326937/,1972-0-0,"Lisbon, Portugal"
Tommy Lee Jones,https://www.imdb.com//name/nm0000169/,1946-9-15,"San Saba, Texas, USA"
Scandar Copti,https://www.imdb.com//name/nm2738713/,1975-0-0,"Jaffa, Tel Aviv, Israel"
Aki Kaurismäki,https://www.imdb.com//name/nm0442454/,1957-4-4,"Orimattila, Finland"
Thomas Vinterberg,https://www.imdb.com//name/nm0899121/,1969-5-19,"Copenhagen, Denmark"
Peter Tscherkassky,https://www.imdb.com//name/nm0874787/,1958-10-3,"Vienna, Austria"
Pablo Larraín,https://www.imdb.com//name/nm1883257/,1976-8-19,"Santiago, Chile"
